linha,nome da linha,Solicitações SIC
83,Zaíra 3,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 83 - Zaíra 3, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
84,Zaíra,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 84 - Zaíra, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
85,Zaíra 5,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 85 - Zaíra 5, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
86,Zaíra 6,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 86 - Zaíra 6, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
87,Boa Vista,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 87 - Boa Vista, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
91,PQ. Das Américas,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 91 - PQ. Das Américas, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
92,Santa Rosa,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 92 - Santa Rosa, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
101,Itapark,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 101 - Itapark, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
102,JD. Mauá,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 102 - JD. Mauá, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
103,Bogus,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 103 - Bogus, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
104,Salgueiro,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 104 - Salgueiro, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
107,Campo Verde,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 107 - Campo Verde, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
108,Aracy,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 108 - Aracy, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
109,Miranda,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 109 - Miranda, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
111,Cruzeiro,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 111 - Cruzeiro, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
112,Feital,"Com base na LAI: a Lei de Acesso à Informação, LEI nº 12.527/2011, e seguindo a orientação da solicitação 2023/18 e do resposta a OGM 128/2023, solicito arquivo digital tabulado em formato aberto, que contenha a relação da quantidade de veículos (ônibus) programadas para a Linha 112 - Feital, do sistema de transporte municipal, pelos dias da semana e horários em que o sistema funciona"
